"DATE","TIME PERIOD","Rate","From Currency","To Currency"
"1999-01-04","04 Jan 1999","1.1789","USD","EUR"
"1999-01-05","05 Jan 1999","1.1790","USD","EUR"
"1999-01-06","06 Jan 1999","1.1743","USD","EUR"
"1999-01-07","07 Jan 1999","1.1632","USD","EUR"
"1999-01-08","08 Jan 1999","1.1659","USD","EUR"
"1999-01-11","11 Jan 1999","1.1569","USD","EUR"
"1999-01-12","12 Jan 1999","1.1520","USD","EUR"
"1999-01-13","13 Jan 1999","1.1744","USD","EUR"
"1999-01-14","14 Jan 1999","1.1653","USD","EUR"
"1999-01-15","15 Jan 1999","1.1626","USD","EUR"
"1999-01-18","18 Jan 1999","1.1612","USD","EUR"
"1999-01-19","19 Jan 1999","1.1616","USD","EUR"
"1999-01-20","20 Jan 1999","1.1575","USD","EUR"
"1999-01-21","21 Jan 1999","1.1572","USD","EUR"
"1999-01-22","22 Jan 1999","1.1567","USD","EUR"
"1999-01-25","25 Jan 1999","1.1584","USD","EUR"
"1999-01-26","26 Jan 1999","1.1582","USD","EUR"
"1999-01-27","27 Jan 1999","1.1529","USD","EUR"
"1999-01-28","28 Jan 1999","1.1410","USD","EUR"
"1999-01-29","29 Jan 1999","1.1384","USD","EUR"
"1999-02-01","01 Feb 1999","1.1338","USD","EUR"
"1999-02-02","02 Feb 1999","1.1337","USD","EUR"
"1999-02-03","03 Feb 1999","1.1337","USD","EUR"
"1999-02-04","04 Feb 1999","1.1263","USD","EUR"
"1999-02-05","05 Feb 1999","1.1292","USD","EUR"
"1999-02-08","08 Feb 1999","1.1246","USD","EUR"
"1999-02-09","09 Feb 1999","1.1333","USD","EUR"
"1999-02-10","10 Feb 1999","1.1342","USD","EUR"
"1999-02-11","11 Feb 1999","1.1312","USD","EUR"
"1999-02-12","12 Feb 1999","1.1244","USD","EUR"
"1999-02-15","15 Feb 1999","1.1238","USD","EUR"
"1999-02-16","16 Feb 1999","1.1176","USD","EUR"
"1999-02-17","17 Feb 1999","1.1253","USD","EUR"
"1999-02-18","18 Feb 1999","1.1232","USD","EUR"
"1999-02-19","19 Feb 1999","1.1163","USD","EUR"
"1999-02-22","22 Feb 1999","1.0992","USD","EUR"
"1999-02-23","23 Feb 1999","1.0969","USD","EUR"
"1999-02-24","24 Feb 1999","1.1037","USD","EUR"
"1999-02-25","25 Feb 1999","1.1031","USD","EUR"
"1999-02-26","26 Feb 1999","1.1018","USD","EUR"
"1999-03-01","01 Mar 1999","1.0986","USD","EUR"
"1999-03-02","02 Mar 1999","1.0887","USD","EUR"
"1999-03-03","03 Mar 1999","1.0899","USD","EUR"
"1999-03-04","04 Mar 1999","1.0866","USD","EUR"
"1999-03-05","05 Mar 1999","1.0834","USD","EUR"
"1999-03-08","08 Mar 1999","1.0908","USD","EUR"
"1999-03-09","09 Mar 1999","1.0863","USD","EUR"
"1999-03-10","10 Mar 1999","1.0953","USD","EUR"
"1999-03-11","11 Mar 1999","1.0891","USD","EUR"
"1999-03-12","12 Mar 1999","1.0932","USD","EUR"
"1999-03-15","15 Mar 1999","1.0949","USD","EUR"
"1999-03-16","16 Mar 1999","1.0901","USD","EUR"
"1999-03-17","17 Mar 1999","1.0966","USD","EUR"
"1999-03-18","18 Mar 1999","1.1012","USD","EUR"
"1999-03-19","19 Mar 1999","1.0915","USD","EUR"
"1999-03-22","22 Mar 1999","1.0864","USD","EUR"
"1999-03-23","23 Mar 1999","1.0896","USD","EUR"
"1999-03-24","24 Mar 1999","1.0928","USD","EUR"
"1999-03-25","25 Mar 1999","1.0898","USD","EUR"
"1999-03-26","26 Mar 1999","1.0815","USD","EUR"
"1999-03-29","29 Mar 1999","1.0692","USD","EUR"
"1999-03-30","30 Mar 1999","1.0711","USD","EUR"
"1999-03-31","31 Mar 1999","1.0742","USD","EUR"
"1999-04-01","01 Apr 1999","1.0772","USD","EUR"
"1999-04-02","02 Apr 1999","1.0772","USD","EUR"
"1999-04-05","05 Apr 1999","1.0752","USD","EUR"
"1999-04-06","06 Apr 1999","1.0726","USD","EUR"
"1999-04-07","07 Apr 1999","1.0812","USD","EUR"
"1999-04-08","08 Apr 1999","1.0818","USD","EUR"
"1999-04-09","09 Apr 1999","1.0778","USD","EUR"
"1999-04-12","12 Apr 1999","1.0867","USD","EUR"
"1999-04-13","13 Apr 1999","1.0765","USD","EUR"
"1999-04-14","14 Apr 1999","1.0787","USD","EUR"
"1999-04-15","15 Apr 1999","1.0786","USD","EUR"
"1999-04-16","16 Apr 1999","1.0668","USD","EUR"
"1999-04-19","19 Apr 1999","1.0636","USD","EUR"
"1999-04-20","20 Apr 1999","1.0646","USD","EUR"
"1999-04-21","21 Apr 1999","1.0586","USD","EUR"
"1999-04-22","22 Apr 1999","1.0581","USD","EUR"
"1999-04-23","23 Apr 1999","1.0634","USD","EUR"
"1999-04-26","26 Apr 1999","1.0614","USD","EUR"
"1999-04-27","27 Apr 1999","1.0630","USD","EUR"
"1999-04-28","28 Apr 1999","1.0666","USD","EUR"
"1999-04-29","29 Apr 1999","1.0604","USD","EUR"
"1999-04-30","30 Apr 1999","1.0597","USD","EUR"
"1999-05-03","03 May 1999","1.0589","USD","EUR"
"1999-05-04","04 May 1999","1.0564","USD","EUR"
"1999-05-05","05 May 1999","1.0667","USD","EUR"
"1999-05-06","06 May 1999","1.0799","USD","EUR"
"1999-05-07","07 May 1999","1.0786","USD","EUR"
"1999-05-10","10 May 1999","1.0735","USD","EUR"
"1999-05-11","11 May 1999","1.0732","USD","EUR"
"1999-05-12","12 May 1999","1.0645","USD","EUR"
"1999-05-13","13 May 1999","1.0622","USD","EUR"
"1999-05-14","14 May 1999","1.0676","USD","EUR"
"1999-05-17","17 May 1999","1.0685","USD","EUR"
"1999-05-18","18 May 1999","1.0690","USD","EUR"
"1999-05-19","19 May 1999","1.0634","USD","EUR"
"1999-05-20","20 May 1999","1.0639","USD","EUR"
"1999-05-21","21 May 1999","1.0572","USD","EUR"
"1999-05-24","24 May 1999","1.0585","USD","EUR"
"1999-05-25","25 May 1999","1.0627","USD","EUR"
"1999-05-26","26 May 1999","1.0535","USD","EUR"
"1999-05-27","27 May 1999","1.0473","USD","EUR"
"1999-05-28","28 May 1999","1.0479","USD","EUR"
"1999-05-31","31 May 1999","1.0456","USD","EUR"
"1999-06-01","01 Jun 1999","1.0434","USD","EUR"
"1999-06-02","02 Jun 1999","1.0382","USD","EUR"
"1999-06-03","03 Jun 1999","1.0382","USD","EUR"
"1999-06-04","04 Jun 1999","1.0315","USD","EUR"
"1999-06-07","07 Jun 1999","1.0316","USD","EUR"
"1999-06-08","08 Jun 1999","1.0385","USD","EUR"
"1999-06-09","09 Jun 1999","1.0466","USD","EUR"
"1999-06-10","10 Jun 1999","1.0474","USD","EUR"
"1999-06-11","11 Jun 1999","1.0474","USD","EUR"
"1999-06-14","14 Jun 1999","1.0437","USD","EUR"
"1999-06-15","15 Jun 1999","1.0392","USD","EUR"
"1999-06-16","16 Jun 1999","1.0345","USD","EUR"
"1999-06-17","17 Jun 1999","1.0340","USD","EUR"
"1999-06-18","18 Jun 1999","1.0388","USD","EUR"
"1999-06-21","21 Jun 1999","1.0339","USD","EUR"
"1999-06-22","22 Jun 1999","1.0313","USD","EUR"
"1999-06-23","23 Jun 1999","1.0280","USD","EUR"
"1999-06-24","24 Jun 1999","1.0321","USD","EUR"
"1999-06-25","25 Jun 1999","1.0443","USD","EUR"
"1999-06-28","28 Jun 1999","1.0388","USD","EUR"
"1999-06-29","29 Jun 1999","1.0364","USD","EUR"
"1999-06-30","30 Jun 1999","1.0328","USD","EUR"
"1999-07-01","01 Jul 1999","1.0264","USD","EUR"
"1999-07-02","02 Jul 1999","1.0241","USD","EUR"
"1999-07-05","05 Jul 1999","1.0232","USD","EUR"
"1999-07-06","06 Jul 1999","1.0221","USD","EUR"
"1999-07-07","07 Jul 1999","1.0222","USD","EUR"
"1999-07-08","08 Jul 1999","1.0182","USD","EUR"
"1999-07-09","09 Jul 1999","1.0204","USD","EUR"
"1999-07-12","12 Jul 1999","1.0124","USD","EUR"
"1999-07-13","13 Jul 1999","1.0183","USD","EUR"
"1999-07-14","14 Jul 1999","1.0168","USD","EUR"
